firm_name,prj_code,date_start_prj,date_end_prj,KPI_id,index_KPI,date_obs,performance,target,KPI_des,KPI_area,baseline,impatto_eco,target_achievement
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170249,10/05/2023,6.205488194,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.88382571
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170250,12/05/2023,5.200428819,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.12814197
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170251,15/05/2023,8.200305401,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.383688272
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170252,17/05/2023,5.590843557,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.421686885
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170253,19/05/2023,5.826997531,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.599246264
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170254,22/05/2023,11.40361863,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-4.792194462
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170255,24/05/2023,8.457949807,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.57740587
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170256,26/05/2023,5.819877045,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.593892515
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170257,29/05/2023,11.09239444,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-4.558191312
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170258,31/05/2023,9.732356636,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-3.535606493
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170259,07/06/2023,7.795665123,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.079447461
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170260,09/06/2023,5.853504591,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.619176384
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170261,12/06/2023,9.039445949,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-3.014621014
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170262,14/06/2023,7.654022569,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.9729493
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170263,16/06/2023,5.683448187,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.491314426
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170264,19/06/2023,10.98651879,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-4.478585555
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170265,21/06/2023,8.519816049,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.623921842
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170266,23/06/2023,5.883910494,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.642037965
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170267,26/06/2023,9.380371489,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-3.270956007
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170268,28/06/2023,6.417973997,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.043589471
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170269,30/06/2023,5.823747569,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.596802684
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170270,03/07/2023,10.62151863,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-4.204149349
